ci_code,ci_description
100100,Shoulder Abrasion
100200,Shoulder Contusion
100201,Shoulder Anterior Contusion
100202,Shoulder Posterior Contusion
100203,Shoulder Rotator Cuff Contusion
100210,Shoulder Subacromial Contusion
100212,Shoulder Infraspinatus Contusion
100220,Shoulder Deltoid Contusion
100221,Shoulder Deltoid/Anterior Contusion
100222,Shoulder Middle Deltoid Contusion
100223,Shoulder Posterior Deltoid Contusion
100240,Shoulder Scapular Contusion
100241,Shoulder Scapular Spine Contusion
100243,Shoulder Supraspinatus Contusion
100250,Shoulder Teres Minor Contusion
100260,Shoulder Long Head Biceps Contusion
100270,Shoulder Serratus Anterior Contusion
100280,Shoulder Trapezius Contusion
100290,Shoulder Pectoralis Major Tendon Contusion
100300,Shoulder Puncture Wound
100400,Shoulder Laceration
100500,Shoulder Bursitis
100510,Shoulder Subacromial Bursitis
100520,Shoulder Subdeltoid Bursitis
100600,Shoulder Acute Tendinitis
100610,Shoulder Rotator Cuff Tendinitis/Acute
100611,Shoulder Supraspinatus Tendinitis/Acute
100612,Shoulder Infraspinatus Tendinitis/Acute
100613,Shoulder Teres Minor Tendinitis/Acute
100614,Shoulder Subscapularis Tendinitis/Acute
100660,Shoulder Biceps Tendinitis/Acute
100661,Shoulder Biceps Tendinitis/Long Head /Acute
100662,Shoulder Biceps Tendinitis/Short Head /Acute
100700,Shoulder Inflammation Synovitis-Capsulitis/Acute
100800,Shoulder Vascular Trauma
100810,Shoulder Thoracic Outlet Syndrome
100811,Shoulder Paget-Schroetter Syndrome
100900,Shoulder Muscle Spasms
100910,Shoulder Deltoid Muscle Spasm
100911,Shoulder Deltoid/Anterior Spasm
100912,Shoulder Middle Deltoid Spasm
100913,Shoulder Posterior Deltoid Spasm
100980,Shoulder Trapezius Spasm
101010,Shoulder Axillary Nerve Compression
101500,Shoulder Nerve Contusion
101510,Shoulder Nerve Contusion w/Sensory Loss
101520,Shoulder Nerve Contusion w/Motor Loss
101530,Shoulder Nerve Contusion w/S&M Loss
101600,Shoulder Nerve Disorder
101610,Shoulder Nerve Disorder w/Sensory Loss
101620,Shoulder Nerve Disorder w/Motor Loss
101630,Shoulder Nerve Disorder w/S&M Loss
101641,Shoulder Ganglion Cyst
101800,Shoulder Nerve Laceration
103000,Shoulder Sprain (non-specific)
103010,Shoulder Anterior Capsule Sprain
103020,Shoulder Posterior Capsule Sprain
103100,Shoulder Sprain 1 Deg (non-specific)
103110,Shoulder Anterior Capsule Sprain 1 Deg
103120,Shoulder Posterior Capsule Sprain 1 Deg
103200,Shoulder Sprain 2 Deg (non-specific)
103210,Shoulder Anterior Capsule Sprain 2 Deg
103220,Shoulder Posterior Capsule Sprain 2 Deg
103300,Shoulder Sprain 3 Deg (non-specific)
103310,Shoulder Anterior Capsule Sprain 3 Deg
103320,Shoulder Posterior Capsule Sprain 3 Deg
103400,Shoulder G-H Subluxation/Acute
103410,Shoulder G-H Anterior Subluxation/Acute
103420,Shoulder G-H Posterior Subluxation/Acute
103430,Shoulder G-H Inferior Subluxation/Acute
103440,Shoulder G-H Subluxation/Anterior-Inferior/Acute
103450,Shoulder G-H Subluxation/Posterior-Inferior/Acute
103500,Shoulder G-H Subluxation/Recurrent
103510,Shoulder G-H Anterior Subluxation/Recurrent
103520,Shoulder G-H Posterior Subluxation/Recurrent
103530,Shoulder G-H Inferior Subluxation/Recurrent
103540,Shoulder G-H Subluxation/Anterior-Inferior/Recur
103550,Shoulder G-H Subluxation/Posterior-Inferior/Recur
103560,Shoulder Biceps Tendon Subluxation/Recurrent
103561,Shoulder Long Biceps Tendon Subluxation/Recurrent
