ci_code,ci_description
364020,Hip Adductor Strain
364034,Hip Rectus Femoris Strain - Proximal
364035,Hip Rectus Femoris Avulsion/Rupture/Complete Tear - Proximal
364036,Hip Rectus Femoris Partial Tear - Proximal
364042,Hip Proximal Biceps Femoris Strain
364043,Hamstring Unknown Muscle Strain - Proximal
364120,Hip Adductor Strain 1 Deg
364134,Hip Rectus Femoris Strain /Proximal 1 Deg
364142,Proximal Hamstring Biceps Femoris Strain - 1st Degree
364143,Hip/Proximal Hamstring Strain 1 Deg / Muscle Unknown
364220,Hip Adductor Strain 2 Deg
364242,Proximal Hamstring Biceps Femoris Strain - 2nd Degree
364243,Hip/Proximal Hamstring Strain 2 Deg / Muscle Unknown
364310,Hip Abductor Strain 3 Deg
364320,Hip Adductor Strain 3 Deg
364342,Hamstring Biceps Femoris Avulsion/Rupture/Complete Tear - Proximal
364343,Hip/Proximal Hamstring Strain 3 Deg (Avulsion or Complete Tear) / Muscle Unknown
374010,Groin Quadriceps Strain - Proximal
374015,Groin Adductor Avulsion/Rupture/Complete Tear - Proximal
374020,Groin Adductor Strain - Proximal
374021,Groin Gracilis Strain - Proximal
374022,Groin Adductor Magnus Strain - Proximal
374023,Groin Adductor Longus Strain - Proximal
374024,Groin Adductor Brevis Strain - Proximal
374025,Groin Pectineus Strain
374030,Groin Hamstring Strain/Medial Proximal
374040,Groin Hamstring Strain/Lateral Proximal
374110,Groin Quadriceps Strain/Proximal 1 Deg
374120,Groin Adductor Strain/Proximal 1 Deg
374121,Groin Gracilis Strain/Proximal 1 Deg
374122,Groin Adductor Magnus/Proximal 1 Deg
374123,Groin Adductor Longus/Proximal 1 Deg
374124,Groin Adductor Brevis/Proximal 1 Deg
374130,Hamstring Proximal Semitendinosus Strain - 1st Degree
374140,Hamstring Proximal Semimembranosus Strain - 1st Degree
374210,Groin Quadriceps Strain/Proximal 2 Deg
374220,Groin Adductor Strain/Proximal 2 Deg
374221,Groin Gracilis Strain/Proximal 2 Deg
374222,Groin Adductor Magnus/Proximal 2 Deg
374223,Groin Adductor Longus/Proximal 2 Deg
374224,Groin Adductor Brevis/Proximal 2 Deg
374230,Hamstring Proximal Semitendinosus Strain - 2nd Degree
374240,Hamstring Proximal Semimembranosus Strain - 2nd Degree
374310,Groin Quadriceps Strain/Proximal 3 Deg
374320,Groin Adductor Strain/Proximal 3 Deg
374321,Groin Gracilis Strain/Proximal 3 Deg
374322,Groin Adductor Magnus/Proximal 3 Deg
374323,Groin Adductor Longus/Proximal 3 Deg
374324,Groin Adductor Brevis/Proximal 3 Deg
374330,Hamstring Semitendinosus Avulsion/Rupture/Complete Tear - Proximal
374340,Hamstring Semimembranosus Avulsion/Rupture/Complete Tear - Proximal
374351,Hamstring Biceps Femoris Strain - Proximal
374352,Hamstring Semitendinosus Strain - Proximal
374353,Hamstring Semimembranosus Strain - Proximal
380024,Thigh Gracilis Strain - Central
380915,Quadriceps Myofascial Strain
384000,Thigh Muscle Strain/Belly
384010,Thigh Quads Strain/Belly
384011,Thigh Vastus Lateralis Strain
384012,Thigh Vastus Intermedius Strain
384013,Thigh Vastus Medialis Strain
384014,Thigh Rectus Femoris Strain - Central
384020,Thigh Adductor Strain - Central
384021,Thigh Adductor Longus Strain - Central
384022,Thigh Adductor Brevis Strain - Central
384023,Thigh Adductor Magnus Strain - Central
384030,Hamstring Unknown Muscle Strain - Central
384031,Thigh Semitendinosus Strain/Medial Belly
384032,Thigh Semimembranosus Strain/Medial Belly
384033,Thigh Biceps Femoris Strain/Medial Belly
384040,Thigh Hamstring Strain/Lateral Belly
384041,Thigh Biceps Femoris Strain/Lateral Belly
384050,Quadriceps Myofascial Strain / Muscle Unknown
384051,Quadriceps Myofascial Strain / Vastus Lateralis
384052,Quadriceps Myofascial Strain / Vastus Intermedius
384053,Quadriceps Myofascial Strain / Vastus Medialis
384054,Quadriceps Myofascial Strain / Rectus Femoris
384055,Quadriceps Myofascial Strain
384060,Hamstring Myofascial Strain - Muscle Unknown
384061,Hamstring Myofascial Strain - Semitendinosus
384062,Hamstring Myofascial Strain - Semimembranosus
384063,Hamstring Myofascial Strain - Biceps Femoris
384100,Thigh Muscle Strain/Belly 1 Deg
384110,Thigh Quads Strain/Belly 1 Deg
384111,Thigh Vastus Lateralis Strain1 Deg
384112,Thigh Vastus Intermedius Strain1 Deg
384113,Thigh Vastus Medialis Strain1 Deg
384114,Thigh Rectus Femoris Strain 1 Deg
384120,Thigh Adductor Strain/Belly 1 Deg
384121,Thigh Adductor Longus Strain/Belly 1 Deg
384122,Thigh Adductor Brevis Strain/Belly 1 Deg
384123,Thigh Adductor Magnus Strain/Belly 1 Deg
384130,Thigh/Muscle Belly Hamstring Strain Deg 1 / Muscle Unknown
