ci_code,ci_description
0,No Clinical Impression Entered
10100,Head Abrasion
10200,Head Contusion
10210,Head Mastoid Contusion
10400,Head Scalp Laceration
11000,Head Concussion
11010,Head Concussion w/Sensory Loss
11020,Head Concussion w/Motor Loss
11030,Head Concussion w/S&M Loss
11100,Head Concussion 1 Deg
11110,Head Concussion 1 Deg w/Sensory Loss
11120,Head Concussion 1 Deg w/Motor Loss
11130,Head Concussion 1 Deg w/S&M Loss
11200,Head Concussion 2 Deg
11210,Head Concussion 2 Deg w/Sensory Loss
11220,Head Concussion 2 Deg w/Motor Loss
11230,Head Concussion 2 Deg w/S&M Loss
11300,Head Concussion 3 Deg
11310,Head Concussion 3 Deg w/Sensory Loss
11320,Head Concussion 3 Deg w/Motor Loss
11330,Head Concussion 3 Deg w/S&M Loss
11400,Head Concussion Sequela
11401,Head Concussion Sequela 1 Deg
11402,Head Concussion Sequela 2 Deg
11403,Head Concussion Sequela 3 Deg
11420,Head Epilepsy/Post Traumatic
11430,Head Subarachnoid Hemorrhage
11450,Head Epidural Hematoma
11460,Head Subdural Hematoma
11470,Head Intracerebral Hemorrhage
11500,Head Post Concussion Syndrome
11510,Head Brain Stem Contusion
11511,Occipital Neuralgia
15000,Head Skull Fracture
15700,Head Fracture/Osteochondral
18170,Head Intermittent Blackouts
18200,Head Congenital Malformation
20100,Face Abrasion
20110,Face Forehead Abrasion
20120,Face Eyebrow Abrasion
20130,Face Cheek Abrasion
20140,Face Eyelid Abrasion
20200,Face Contusion
20210,Face Forehead Contusion
20220,Face Eyebrow Contusion
20230,Face Cheek Contusion
20240,Face Eyelid Contusion
20300,Face Puncture
20310,Face Forehead Puncture Wound
20320,Face Eyebrow Puncture Wound
20330,Face Cheek Puncture Wound
20340,Face Eyelid Puncture Wound
20400,Face Laceration
20410,Face Forehead Laceration
20420,Face Eyebrow Laceration
20430,Face Cheek Laceration
20440,Face Eyelid Laceration
20810,Face Forehead Vascular Trauma
21510,Face Supraorbital Nerve Contusion
21630,Face Nerve Disorder
21631,Face Bell's Palsy
22000,Face Burn Thermal
22100,Face Burn 1 Deg
22200,Face Burn 2 Deg
22300,Face Burn 3 Deg
25000,Face Fracture/Non-specific
25010,Face Fracture/Zygoma
25020,Face Fracture/Zygomatic Arch
25120,Face Fracture/Zygomatic Arch/Open
25310,Face Fracture/Zygoma/Dislocation
25320,Face Fracture/Zygomatic Arch/Dislocation
25620,Face Fracture/Zygomatic Arch/Greenstick
25810,Face Fracture/Zygoma/Comminuted
25820,Face Fracture/Zygomatic Arch/Comminuted
25910,Face Fracture/Zygoma/Other
25920,Face Fracture/Zygomatic Arch/Other
28751,Face Forehead Staph Infection - MRSA
28752,Face Forehead Staph Infection - MSSA
30030,Eye Detached Retina
30100,Eye Abrasion
30111,Eye Corneal Abrasion
30112,Eye Corneal Ulcer
30200,Eye Contusion
30210,Eye Corneal Contusion
30240,Eye Iris Contusion
30250,Eye Periorbital Hematoma
30260,Eye Globe Contusion
30300,Eye Puncture Wound
30400,Eye Laceration
30410,Eye Corneal Laceration
30440,Eye Iris Laceration/Rupture
30470,Eye Conjunctive Laceration
30830,Eye Retinal Vessel Rupture
30840,Eye Purtschers Retinopathy
31510,Eye Supraorbital Nerve Contusion
34000,Eye Muscle Strain
34100,Eye Muscle Strain 1 Deg
34200,Eye Muscle Strain 2 Deg
34300,Eye Muscle Strain 3 Deg
35000,Eye Orbit /Non-specific
35100,Eye Orbit/Fracture/Simple
35600,Eye Orbit/Fracture/Greenstick
35810,Eye Orbit/Fracture/Inferior/Comminuted
35900,Eye Orbit/Fracture/Blowout
38310,Eye Hyphema
38600,Eye Inflammation
38610,Eye Uveitis
38620,Eye Iritis
38800,Eye Non-disease/Atypical Condition
38801,Eye Myopia Disability
38810,Eye Corneal Opacity
38820,Eye Corneal Keratoconus
38821,Visual Disturbances
40010,Ear Tympanic Membrane Trauma
40100,Ear Abrasion
40200,Ear Contusion
40210,Ear Hematoma/Acute
40220,Ear Cauliflower
40300,Ear Puncture Wound
40310,Ear Drum Perforation/Traumatic
40400,Ear Laceration
40800,Ear Vascular Trauma
41610,Ear Nerve Disorder/Vertigo
48110,Ear Impacted Cerumen
48751,Ear Staph Infection - MRSA
48752,Ear Staph Infection - MSSA
50100,Jaw/Chin Abrasion
50110,Jaw/Chin Mandible/Abrasion
50120,Jaw/Chin Maxilla/Abrasion
50200,Jaw/Chin Contusion
50201,Jaw TMJ Contusion
50210,Jaw/Chin Mandible/Contusion
50220,Jaw/Chin Maxilla/Contusion
50300,Jaw/Chin Puncture Wound
50400,Jaw/Chin Laceration
50410,Jaw/Chin Mandible/Laceration
50420,Jaw/Chin Maxilla/Laceration
52000,Jaw/Chin Burn
52001,Jaw/Chin Burn 1 Deg
52002,Jaw/Chin Burn 2 Deg
52003,Jaw/Chin Burn 3 Deg
53000,Jaw TMJ Sprain
53100,Jaw TMJ Sprain 1 Deg
53200,Jaw TMJ Sprain 2 Deg
53300,Jaw TMJ Sprain 3 Deg
53400,Jaw TMJ Subluxation
53500,Jaw TMJ Subluxation/Recurrent
53600,Jaw TMJ Dislocation
53700,Jaw TMJ Dislocation/Recurrent
55010,Jaw Fracture/Mandible
55020,Jaw Fracture/Maxilla
55110,Jaw Fracture/Mandible/Open
55210,Jaw Fracture/Mandible/Avulsion
55310,Jaw Fracture/Mandible/Dislocation
55510,Jaw Fracture/Mandible/Stress
55520,Jaw Fracture/Maxilla Tripod/Stress
55910,Jaw Fracture/Mandible/Other
56400,Jaw M-S Condition/Other
56470,Jaw Mandible Tissue Anomaly
60010,Mouth Intruded Tooth
60100,Mouth Abrasion
60200,Mouth Contusion
60300,Mouth Puncture
60310,Mouth Extraoral Puncture
60320,Mouth Intraoral Puncture
60400,Mouth Laceration
60410,Mouth Extraoral Laceration
60420,Mouth Intraoral Laceration
60421,Mouth Tongue Laceration
61600,Mouth Tooth Nerve Disorder
63000,Mouth Tooth Injury
63400,Mouth Tooth Partial Luxation/Acute
63600,Mouth Tooth Complete Luxation/Acute
65000,Mouth Fracture Tooth
65010,Mouth Fracture Tooth/Break
65020,Mouth Fracture Tooth/Chip
65030,Mouth Fracture Tooth/Linear
65040,Mouth Fracture Tooth/Root
65060,Mouth Perm Dental Bridge Broken
68100,Mouth Tooth Ache
68110,Mouth Dental Caries
70010,Nose Epistaxis/Spontaneous
70020,Nose Epistaxis/Traumatic
70100,Nose Abrasion
70200,Nose Contusion
70300,Nose Puncture Wound
70400,Nose Laceration
70500,Nose Bursitis
70600,Nasal Septum Deviation
70601,Nose Nasal Septum Deviation - Traumatic
75000,Nose Fracture
75100,Nose Fracture/Open
75200,Nose Fracture/Avulsion
75300,Nose Fracture/Dislocation
75500,Nose Fracture/Stress
75700,Nose Fracture/Osteochondral
75800,Nose Fracture/Comminuted
75900,Nose Fracture/Other
76460,Nose Degeneration
78601,Nose Staph Infection - MRSA
78602,Nose Staph Infection - MSSA
80100,Throat Abrasion
80200,Throat Larynx Contusion
80201,Throat Contusion
80300,Throat Puncture
80400,Throat Laceration
80800,Throat Vascular Trauma
85000,Throat Fracture Larynx
90100,Neck Abrasion
90200,Neck Contusion
90210,Neck Cervical Vertebrae Contusion
90280,Neck Upper Trapezius Contusion
90300,Neck Puncture Wound
90400,Neck Laceration
90600,Neck Tenosynovitis
90830,Neck Sternocleidomastoid Hematoma
90900,Cervical Neck Muscle Cramps/Spasms
90930,Neck Cervical Torticollis
91000,Neck Neurotrauma
91010,Neck Brachial Plexus Stretch
91020,Neck Brachial Plexus Compression
91030,Neck Cervical Plexus Stretch
91040,Neck Cervical Plexus Compression
91220,Neck Cervical C5-C7 Impingement
91221,Neck Cervical C1-C3 Impingement
91222,Neck Cervical C4-C6 Impingement
91223,Neck Cervical C7-T1 Impingement
91500,Neck Nerve Contusion
91510,Neck Nerve Contusion w/Sensory Loss
91520,Neck Nerve Contusion w/Motor Loss
91530,Neck Nerve Contusion w/S&M Loss
91550,Neck Cervical Hydrocephalia
91600,Neck Nerve Disorder
91610,Neck Nerve Disorder w/Sensory Loss
91620,Neck Nerve Disorder w/Motor Loss
91630,Neck Nerve Disorder w/S&M Loss
93000,Neck Cervical Sprain/Strain
93010,Neck Cervical Hyperextension Sprain
93020,Neck Cervical Hyperflexion Sprain
93030,Neck Cervical Facet Joint Sprain
93100,Neck Cervical Sprain 1 Deg
93110,Neck Cervical Hyperextension Sprain 1 Deg
93120,Neck Cervical Hyperflexion Sprain 1 Deg
93200,Neck Cervical Sprain 2 Deg
93210,Neck Cervical Hyperextension Sprain 2 Deg
93220,Neck Cervical Hyperflexion Sprain 2 Deg
93300,Neck Cervical Sprain 3 Deg
93310,Neck Cervical Hyperextension Sprain 3 Deg
93320,Neck Cervical Hyperflexion Sprain 3 Deg
93400,Neck Cervical Subluxation
93420,Neck Cervical Hyperflexion/Subluxation
93500,Neck Cervical Subluxation/Recurrent
93600,Neck Cervical Dislocation
93611,Neck Cervical Atlas-Axis Dislocation
93612,Neck Cervical C2-C3 Dislocation
93613,Neck Cervical C3-C4 Dislocation
93614,Neck Cervical C4-C5 Dislocation
93615,Neck Cervical C5-C6 Dislocation
93616,Neck Cervical C6-C7 Dislocation
93617,Neck Cervical C7-T1 Dislocation
93620,Neck Cervical Articular Process Dislocation
94000,Neck Cervical Muscle Strain
94011,Neck Spinalis Cervicus Strain/Proximal
94012,Neck Spinalis Cervicus Strain/Middle
94013,Neck Spinalis Cervicus Strain/Distal
94021,Neck Levator Scaplae Strain/Proximal
94022,Neck Levator Scaplae Strain/Middle
94023,Neck Levator Scaplae Strain/Distal
94024,Neck Levator Scapula Strain
94031,Neck Sternocleidomastoid Strain/Proximal
94032,Neck Sternocleidomastoid Strain/Middle
94033,Neck Sternocleidomastoid Strain/Distal
94081,Neck Trapezius Strain /Proximal
94082,Neck Trapezius Strain /Middle
94083,Neck Trapezius Strain /Distal
94100,Neck Cervical Muscle Strain 1 Deg
94111,Neck Spinalis Cervices Strain 1 Deg/Proximal
94112,Neck Spinalis Cervices Strain 1 Deg/Middle
94113,Neck Spinalis Cervices Strain 1 Deg/Distal
94121,Neck Levator Scaplae Strain 1 Deg/Proximal
94122,Neck Levator Scaplae Strain 1 Deg/Middle
94123,Neck Levator Scaplae Strain 1 Deg/Distal
94131,Neck Sternocleidomastoid Strain 1 Deg/Proximal
94132,Neck Sternocleidomastoid Strain 1 Deg/Middle
94133,Neck Sternocleidomastoid Strain 1 Deg/Distal
94181,Neck Trapezius Strain 1 Deg/Proximal
94182,Neck Trapezius Strain 1 Deg/Middle
94183,Neck Trapezius Strain 1 Deg/Distal
94200,Neck Cervical Muscle Strain 2 Deg
94211,Neck Spinalis Cervicus Strain 2 Deg/Proximal
94212,Neck Spinalis Cervicus Strain 2 Deg/Middle
94213,Neck Spinalis Cervicus Strain 2 Deg/Distal
94221,Neck Levator Scaplae Strain 2 Deg/Proximal
94222,Neck Levator Scaplae Strain 2 Deg/Middle
94223,Neck Levator Scaplae Strain 2 Deg/Distal
94231,Neck Sternocleidomastoid Strain 2 Deg/Proximal
94232,Neck Sternocleidomastoid Strain 2 Deg/Middle
94233,Neck Sternocleidomastoid Strain 2 Deg/Distal
