ci_code,ci_description
364034,Hip Rectus Femoris Strain - Proximal
364035,Hip Rectus Femoris Avulsion/Rupture/Complete Tear - Proximal
364036,Hip Rectus Femoris Partial Tear - Proximal
364134,Hip Rectus Femoris Strain /Proximal 1 Deg
374010,Groin Quadriceps Strain - Proximal
374110,Groin Quadriceps Strain/Proximal 1 Deg
374210,Groin Quadriceps Strain/Proximal 2 Deg
374310,Groin Quadriceps Strain/Proximal 3 Deg
380915,Quadriceps Myofascial Strain
384000,Thigh Muscle Strain/Belly
384010,Thigh Quads Strain/Belly
384011,Thigh Vastus Lateralis Strain
384012,Thigh Vastus Intermedius Strain
384013,Thigh Vastus Medialis Strain
384014,Thigh Rectus Femoris Strain - Central
384050,Quadriceps Myofascial Strain / Muscle Unknown
384051,Quadriceps Myofascial Strain / Vastus Lateralis
384052,Quadriceps Myofascial Strain / Vastus Intermedius
384053,Quadriceps Myofascial Strain / Vastus Medialis
384054,Quadriceps Myofascial Strain / Rectus Femoris
384055,Quadriceps Myofascial Strain
384100,Thigh Muscle Strain/Belly 1 Deg
384110,Thigh Quads Strain/Belly 1 Deg
384111,Thigh Vastus Lateralis Strain1 Deg
384112,Thigh Vastus Intermedius Strain1 Deg
384113,Thigh Vastus Medialis Strain1 Deg
384114,Thigh Rectus Femoris Strain 1 Deg
384200,Thigh Muscle Strain/Belly 2 Deg
384210,Thigh Quads Strain/Belly 2 Deg
384211,Thigh Vastus Lateralis Strain 2 Deg
384212,Thigh Vastus Intrmedius Strain 2 Deg
384213,Thigh Vastus Medialis Strain 2 Deg
384214,Thigh Rectus Femoris Strain 2 Deg
384300,Thigh Muscle Strain/Belly 3 Deg (Complete Tear)
384310,Thigh Quads Strain/Belly 3 Deg
384311,Thigh Vastus Lateralis Strain3 Deg
384312,Thigh Vastus Intrmedius Strain3 Deg
384313,Thigh Vastus Medialis Strain 3 Deg
384314,Thigh Rectus Femoris Strain 3 Deg
384410,Thigh Quads Strain/Tendon Avulsion
384414,Thigh Rectus Femoris/Avulsion
384505,Knee Quadriceps Tendon Partial Tear
384510,Knee Quadriceps Tendon Avulsion/Rupture/Complete Tear
384573,Thigh Vastus Medialis/severed
404010,Knee Quadriceps Strain/Distal
404110,Knee Quadriceps Strain/Distal 1 Deg
404210,Knee Quadriceps Strain/Distal - Partial
404310,Knee Quadriceps Avulsion/Rupture/Complete Tear - Distal
404410,Knee Quadriceps Avulsion/Distal
